datetime,case,deaths
12/31/2019,41,0
1/1/2020,41,1
1/2/2020,41,1
1/3/2020,41,1
1/4/2020,41,1
1/5/2020,41,1
1/6/2020,41,1
1/7/2020,41,1
1/8/2020,41,1
1/9/2020,41,1
1/10/2020,41,1
1/11/2020,41,1
1/12/2020,41,1
1/13/2020,41,1
1/14/2020,41,1
1/15/2020,41,1
1/16/2020,45,2
1/17/2020,59,2
1/18/2020,139,2
1/19/2020,198,2
1/20/2020,282,6
1/21/2020,440,6
1/22/2020,511,17
1/23/2020,830,25
1/24/2020,902,26
1/25/2020,1383,41
1/26/2020,2019,56
1/27/2020,2886,81
1/28/2020,4473,107
1/29/2020,7813,170
1/30/2020,9823,213
1/31/2020,11950,259
2/1/2020,14553,304
2/2/2020,17391,362
2/3/2020,20630,426
2/4/2020,24545,492
2/5/2020,28266,565
2/6/2020,31439,638
2/7/2020,34876,724
2/8/2020,37522,813
2/9/2020,40533,910
2/10/2020,43099,1018
2/11/2020,45134,1115
2/12/2020,59287,1261
2/13/2020,64438,1383
2/14/2020,67100,1526
2/15/2020,69197,1669
2/16/2020,71329,1775
2/17/2020,73332,1873
2/18/2020,75184,2009
2/19/2020,75700,2126
2/20/2020,76677,2247
2/21/2020,77673,2360
2/22/2020,78651,2460
2/23/2020,79205,2618
2/24/2020,80087,2699
2/25/2020,80828,2763
2/26/2020,81829,2800
2/27/2020,83112,2858
2/28/2020,84624,2923
2/29/2020,86613,2977
3/1/2020,88590,3050
3/2/2020,90449,3117
3/3/2020,93021,3202
3/4/2020,95316,3285
3/5/2020,98425,3387
3/6/2020,102050,3494
3/7/2020,106099,3599
3/8/2020,109991,3827
3/9/2020,114381,4025
3/10/2020,118947,4296
